State: PRELAUNCH, Time: 1800.01s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.68, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.03s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.04s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.06s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.09s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.88m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.11s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.12s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.15s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.16s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.96m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.18s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.88m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.20s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.88m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.22s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.89m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.23s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.26s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
